evaluate_num,episode,total_steps,mu_s,mu_c,eval_reward,eval_F_comm,eval_P_s,eval_P_c,eval_mu_s_P_s,eval_mu_c_P_c,eval_reconstructed_reward,eval_reward_reconstruct_error,eval_avg_slot_reward,eval_avg_F_comm,eval_avg_P_s,eval_avg_P_c,eval_avg_mu_s_P_s,eval_avg_mu_c_P_c,eval_gamma_s,eval_times,eval_steps_per_episode
14,1400,35000,1.0,1.0,71752.96020507812,105362.47973632812,-26554.165161132812,-7055.353439331055,-26554.165161132812,-7055.353439331055,71752.96113586426,-0.0009307861328125,2870.118408203125,4214.499189453125,-1062.1666064453125,-282.21413757324217,-1062.1666064453125,-282.21413757324217,1967.9572863769529,3,25
15,1500,37500,1.0,1.0,74899.66418457031,108847.86157226562,-26554.140380859375,-7394.056442260742,-26554.140380859375,-7394.056442260742,74899.66474914551,-0.0005645751953125,2995.986567382812,4353.914462890625,-1062.165615234375,-295.7622576904297,-1062.165615234375,-295.7622576904297,1967.9582666015624,3,25
16,1600,40000,1.0,1.0,76730.87268066406,110946.88525390625,-26554.1171875,-7661.894729614258,-26554.1171875,-7661.894729614258,76730.87333679199,-0.0006561279296875,3069.2349072265624,4437.87541015625,-1062.1646875,-306.4757891845703,-1062.1646875,-306.4757891845703,1967.9592150878907,3,25
17,1700,42500,1.0,1.0,76730.83215332031,110946.81201171875,-26554.1171875,-7661.862442016602,-26554.1171875,-7661.862442016602,76730.83238220215,-0.0002288818359375,3069.2332861328123,4437.87248046875,-1062.1646875,-306.47449768066406,-1062.1646875,-306.47449768066406,1967.9592150878907,3,25
18,1800,45000,1.0,1.0,79025.7919921875,113540.66186523438,-26554.07080078125,-7960.799362182617,-26554.07080078125,-7960.799362182617,79025.79170227051,0.0002899169921875,3161.0316796875,4541.626474609375,-1062.16283203125,-318.4319744873047,-1062.16283203125,-318.4319744873047,1967.961025390625,3,25
19,1900,47500,1.0,1.0,79025.7705078125,113540.66088867188,-26554.07080078125,-7960.819305419922,-26554.07080078125,-7960.819305419922,79025.7707824707,-0.000274658203125,3161.0308203125,4541.626435546875,-1062.16283203125,-318.4327722167969,-1062.16283203125,-318.4327722167969,1967.961025390625,3,25
20,2000,50000,1.0,1.0,80939.14538574219,115614.6787109375,-26554.078491210938,-8121.455047607422,-26554.078491210938,-8121.455047607422,80939.14517211914,0.000213623046875,3237.5658154296875,4624.5871484375,-1062.1631396484374,-324.8582019042969,-1062.1631396484374,-324.8582019042969,1967.9607421875,3,25
21,2100,52500,1.0,1.0,81917.10827636719,116741.63037109375,-26554.112915039062,-8270.409149169922,-26554.112915039062,-8270.409149169922,81917.10830688477,-3.0517578125e-05,3276.684331054688,4669.66521484375,-1062.1645166015626,-330.81636596679687,-1062.1645166015626,-330.81636596679687,1967.9593676757813,3,25
22,2200,55000,1.0,1.0,81917.14208984375,116741.68212890625,-26554.113159179688,-8270.427017211914,-26554.113159179688,-8270.427017211914,81917.14195251465,0.0001373291015625,3276.68568359375,4669.66728515625,-1062.1645263671876,-330.81708068847655,-1062.1645263671876,-330.81708068847655,1967.9593579101563,3,25
23,2300,57500,1.0,1.0,83797.28100585938,118934.24462890625,-26554.139404296875,-8582.824096679688,-26554.139404296875,-8582.824096679688,83797.28112792969,-0.0001220703125,3351.8912402343753,4757.36978515625,-1062.165576171875,-343.3129638671874,-1062.165576171875,-343.3129638671874,1967.9582824707031,3,25
