episode,step,reward
1,1,0.9999999999969829
1,2,2.023112919943889
1,3,1.2336390065562524
1,4,0.9176400145580622
1,5,0.775651149877096
1,6,0.48859837581846527
1,7,0.5485288811546639
1,8,0.3340067123538971
1,9,0.1368003931956425
1,10,0.21212088207034324
1,11,0.02644993858537231
1,12,0.1498473261779642
1,13,0.0824425433690456
1,14,0.11862836871123729
1,15,0.06377888440115534
1,16,0.138936594450038
1,17,0.08982093873142799
1,18,0.2588383974334746
1,19,0.27333822463846824
1,20,0.319238178111045
1,21,0.25508906443750473
1,22,0.32782227174177214
1,23,0.33514217484117587
1,24,0.3274436346286582
1,25,0.2655316073474799
2,1,0.2681421569339941
2,2,0.23637335371929624
2,3,0.2723546547897167
2,4,0.3083549599229011
2,5,0.29444492241268566
2,6,0.20093592405627592
2,7,0.2477714894363388
2,8,0.13026559793493123
2,9,0.12125186724060302
2,10,0.06292718422663982
2,11,0.11695723702639495
2,12,0.08435436388500638
2,13,0.01034756639893576
2,14,0.026814300913240253
2,15,0.020337232678923657
2,16,0.07927904463933946
2,17,0.08041003903947491
2,18,0.15858683894086315
2,19,0.1993220416598391
2,20,0.2674179162724149
2,21,0.270356120786941
2,22,0.27605639770125456
2,23,0.3392109297382208
2,24,0.25192025048477695
2,25,0.3516876392054488
3,1,0.29541182270055877
3,2,0.27761174302076547
3,3,0.2569144332641205
3,4,0.28403546103649785
3,5,0.28855950063002045
3,6,0.2405962487800596
3,7,0.19559149970778808
3,8,0.17232867969449306
3,9,0.1457485573707519
3,10,0.10802467616318595
3,11,0.1321409923759297
3,12,0.0373703401743788
3,13,0.09851338530602935
3,14,0.02960848078736671
3,15,0.1513912308094026
3,16,0.10963837594834179
3,17,0.05981149545971008
3,18,0.15214699201614182
3,19,0.2770172963194423
3,20,0.2561550955510625
3,21,0.24306384518119284
3,22,0.30877371456512126
3,23,0.3017553606275127
3,24,0.3020012100262381
3,25,0.2821175913022325
4,1,0.2202551288310664
4,2,0.24112508940192517
4,3,0.27557870896584696
4,4,0.28902824409110084
4,5,0.2856538675987399
4,6,0.2145054949583658
4,7,0.17101610672231413
4,8,0.20766963686000453
4,9,0.09245545269605382
4,10,0.10731239150393225
4,11,0.0929107534818038
4,12,0.0030293104829972745
4,13,0.13454810898860234
4,14,0.060077324620722884
4,15,0.05857124827698481
4,16,0.1483368025267744
4,17,0.10388840348389768
4,18,0.11998858439715329
4,19,0.23498428193803186
4,20,0.2841296510020181
4,21,0.2671051257591592
4,22,0.2879149368517429
4,23,0.302360603431588
4,24,0.27887282147375514
4,25,0.33485530156854043
5,1,0.2935945704772004
5,2,0.27038595912880614
5,3,0.3307469479968596
5,4,0.30955550283108146
5,5,0.29889692617763475
5,6,0.2403331485699112
5,7,0.17896135947056932
5,8,0.126285025214405
5,9,0.15418016789171798
5,10,0.0844782764834111
5,11,0.08036842708370084
5,12,0.09407569144808682
5,13,0.06579668550600234
5,14,0.05727952877007701
5,15,0.097822101328218
5,16,0.12450054738490528
5,17,0.0909399276361333
5,18,0.18273448662203973
5,19,0.18731414782744357
5,20,0.24284873885524388
5,21,0.25984526250313666
5,22,0.34438395667932653
5,23,0.29665347492817723
5,24,0.26904384892250705
5,25,0.3186992805230374
6,1,0.3136350849766716
6,2,0.2675356340093347
6,3,0.18920274729033398
6,4,0.2787431892312613
6,5,0.29282100406149925
6,6,0.30959270913439524
6,7,0.2659241085909184
6,8,0.15250251268919265
6,9,0.09874195020508184
6,10,0.14138949039894497
6,11,0.05264965748474376
6,12,0.08036150646765503
6,13,0.0955604911382641
6,14,0.1077483617303976
6,15,0.11947936809134421
6,16,0.09983275313039698
6,17,0.09369844616403272
6,18,0.08827767269396576
6,19,0.23411074311460908
6,20,0.2513984603696425
6,21,0.2889158375965538
6,22,0.2332685800996296
6,23,0.3302060575472383
6,24,0.27546126239515967
6,25,0.2796513564363165
7,1,0.29344346542134114
7,2,0.3114067953067698
7,3,0.28525774225481254
7,4,0.2963052689165442
7,5,0.2784915702099069
7,6,0.2795346707716772
7,7,0.2008337940687521
7,8,0.22043162980890138
7,9,0.11544708915848013
7,10,0.10092376548620018
7,11,0.1219777496162548
7,12,0.03867143281873225
7,13,0.04837389900195108
7,14,0.09063524055341353
7,15,0.05598736336955669
7,16,0.08886369377974147
7,17,0.11982721213834001
7,18,0.11724667018197386
7,19,0.1957197542698521
7,20,0.18311056409014956
7,21,0.23733782580503332
7,22,0.270431905077735
7,23,0.27315953184118524
7,24,0.22663213193557766
7,25,0.29340532319380735
8,1,0.24716198509779816
8,2,0.28554621738167635
8,3,0.3484688733128185
8,4,0.3156643132921688
8,5,0.30650688922848973
8,6,0.26496424238988975
8,7,0.25276780991603515
8,8,0.15131564703161043
8,9,0.14687817080450072
8,10,0.14652200119191217
8,11,0.06557044671874236
8,12,0.07355535322933694
8,13,0.031042775010835907
8,14,0.04704642825325598
8,15,0.08111527779333971
8,16,0.10258407915962268
8,17,0.05491886027515785
8,18,0.14389275372858853
8,19,0.10193838865187936
8,20,0.20931490820230644
8,21,0.24555089433734797
8,22,0.28049070856837627
8,23,0.2848687539980405
8,24,0.3516740545023353
8,25,0.3308449516410956
9,1,0.2893365710058509
9,2,0.36576712329343486
9,3,0.2894587409964392
9,4,0.24226475386463253
9,5,0.3077775495309976
9,6,0.3323685104188268
9,7,0.2546707245701398
9,8,0.2050883412477699
9,9,0.13376371248959523
9,10,0.1212608961434706
9,11,0.08155903808961815
9,12,0.07714129873961957
9,13,0.010797217592000915
9,14,0.09013447114730302
9,15,0.1093289525800418
9,16,0.02040560825486355
9,17,0.11768613179655284
9,18,0.14672537962911528
9,19,0.2038078739929547
9,20,0.25485062277851595
9,21,0.24243763355051068
9,22,0.3300552978982728
9,23,0.2697282806175305
9,24,0.2627018874690189
9,25,0.29487409601437925
10,1,0.3265644580171057
10,2,0.2690201801906322
10,3,0.2901102379544101
10,4,0.35471542125899697
10,5,0.30771773194641333
10,6,0.2683011600141648
10,7,0.19837458858704202
10,8,0.11803903170699327
10,9,0.0994119239683329
10,10,0.13581334544352552
10,11,0.10057325469204383
10,12,0.0893142939224062
