episode,total_reward,steps
1,10.702446483131114,25
2,4.675880030044457,25
3,5.006328028818344,25
4,4.816173379913121,25
5,4.999723990259633,25
6,4.940708985047584,25
7,4.743456089076689,25
8,4.870204783717162,25
9,5.053990713711456,25
10,4.922964238611085,25
11,4.674033526628073,25
12,4.987943206531663,25
13,5.05089805986546,25
14,4.965266220225421,25
15,4.885374129123112,25
16,4.899212382337953,25
17,4.840587583385529,25
18,4.916022472507045,25
19,5.0803274850675875,25
20,4.5315249345996955,25
21,4.719808509198789,25
22,4.720820254139599,25
23,4.9764699043018075,25
24,4.9358805394488225,25
25,4.802384583333326,25
26,4.726546277778064,25
27,4.877111633388509,25
28,4.940151831738614,25
29,4.592535120750007,25
30,4.952850663848552,25
31,4.719858400704311,25
32,4.731546606193936,25
33,4.878460286939276,25
34,4.80920358622076,25
35,5.025635225514923,25
36,4.967088360121493,25
37,5.077608591748144,25
38,4.815303113961595,25
39,5.000926418055454,25
40,4.63527118653743,25
41,5.108491589943548,25
42,4.859107663158957,25
43,4.827970096344473,25
44,4.759426777751132,25
45,5.066675414875471,25
46,4.812322531747474,25
47,4.9969174069642355,25
48,4.67030615381106,25
49,4.701161443345537,25
50,4.490800402188578,25
51,4.538173493824427,25
52,4.638240619557183,25
53,4.8390374987356,25
54,4.556119026686991,25
55,4.697540168843441,25
56,4.987470301234271,25
57,4.962759497302042,25
58,4.676317052341634,25
59,4.654199365545038,25
60,4.951259886034032,25
61,5.068178346949031,25
62,4.465576593833236,25
63,4.659683144067307,25
64,4.937373979964488,25
65,4.593087737797701,25
66,4.748392098325751,25
67,4.5435352483431615,25
68,4.740275710470363,25
69,5.024388739091309,25
70,4.799995872118973,25
71,5.002768517275947,25
72,4.5101513601900125,25
73,4.866267499461626,25
74,4.779599679601005,25
75,4.634607072927114,25
76,4.961862161339584,25
77,4.930141250741908,25
78,4.764879158719751,25
79,4.588163839807934,25
80,4.887668435816427,25
81,4.755708230226629,25
82,4.520519251250955,25
83,5.249125770537352,25
84,4.862403897612712,25
85,4.843448892232189,25
86,5.134618694423134,25
87,4.983546922837477,25
88,4.862131964772619,25
89,4.8994053027632045,25
90,4.70976754489013,25
91,4.926376438609857,25
92,4.6456947981393535,25
93,4.692980313052295,25
94,4.452821825800328,25
95,4.811827633223108,25
96,5.051050647220923,25
97,4.8919567776038235,25
98,4.614538262100688,25
99,4.947808273464394,25
100,4.859086575191274,25
101,4.902539514092008,25
102,5.050693975330944,25
103,4.807138824008968,25
104,4.830210489652247,25
105,4.880273493380835,25
106,4.830699595583627,25
107,5.0810252671071,25
108,4.75377359975346,25
109,4.879941334120056,25
110,4.994801637784134,25
111,4.976024107172961,25
112,4.7673652514206895,25
113,5.12057176703045,25
114,5.24891905538618,25
115,4.803874062767383,25
116,4.674257066190833,25
117,4.8549729482829465,25
118,4.9402373735481815,25
119,4.936049005214473,25
120,4.638343678594673,25
121,4.6761246201190705,25
122,4.912635564114088,25
123,4.831827642565169,25
