episode,total_reward,steps
88,113901.93505859375,25
89,113979.01171875,25
90,114094.95263671875,25
91,114096.7568359375,25
92,113839.13916015625,25
93,113981.888671875,25
94,114066.52587890625,25
95,113891.7216796875,25
96,114355.28369140625,25
97,114043.6865234375,25
98,113849.60717773438,25
99,113814.46044921875,25
100,113787.23095703125,25
101,114075.9482421875,25
102,113747.5595703125,25
103,113692.91943359375,25
104,113403.462890625,25
105,105734.1904296875,25
106,98907.966796875,25
107,94910.78515625,25
108,93462.75268554688,25
109,88799.08203125,25
110,87228.60766601562,25
111,85069.47119140625,25
112,84735.30932617188,25
113,82514.91259765625,25
114,80280.37719726562,25
115,79727.4287109375,25
116,79394.78295898438,25
117,79463.22680664062,25
118,77406.57299804688,25
119,75286.3466796875,25
120,74513.3359375,25
121,70951.7763671875,25
122,70668.25244140625,25
123,70383.80004882812,25
124,69804.6201171875,25
125,69694.46020507812,25
126,69609.77099609375,25
127,69822.8779296875,25
128,69934.04516601562,25
129,69649.34594726562,25
130,69390.29077148438,25
131,69021.53784179688,25
132,68759.69580078125,25
133,68767.62768554688,25
134,69252.9091796875,25
135,69106.63842773438,25
136,69140.60034179688,25
137,68946.67309570312,25
138,68843.91015625,25
139,68725.72875976562,25
140,69242.83715820312,25
141,68697.0126953125,25
142,68913.92529296875,25
143,68554.06616210938,25
144,68769.07592773438,25
145,68635.8662109375,25
146,68411.89794921875,25
147,68439.42846679688,25
148,68379.70288085938,25
149,68661.94140625,25
150,68491.36645507812,25
151,68701.60107421875,25
152,68322.23681640625,25
153,68718.74536132812,25
154,68603.42211914062,25
155,68442.7080078125,25
156,68446.96630859375,25
157,68706.75268554688,25
158,68668.95263671875,25
159,69113.80297851562,25
160,68816.5498046875,25
161,68469.91137695312,25
162,68132.14599609375,25
163,68578.06762695312,25
164,68737.06079101562,25
165,69128.36791992188,25
166,69244.2626953125,25
167,68658.6328125,25
168,68986.90209960938,25
169,69199.734375,25
170,69734.82763671875,25
171,70813.52807617188,25
172,70439.44482421875,25
173,70518.49291992188,25
174,70988.87475585938,25
175,70414.79614257812,25
176,71207.3740234375,25
177,71438.09204101562,25
178,71068.8544921875,25
179,71200.15673828125,25
180,71497.25830078125,25
181,71517.88720703125,25
182,71341.06665039062,25
183,71799.61010742188,25
184,71611.37548828125,25
185,71442.11279296875,25
186,71154.54443359375,25
187,70916.72216796875,25
188,71062.76733398438,25
189,71375.95922851562,25
190,71177.07104492188,25
191,71268.33959960938,25
192,71648.27124023438,25
193,71087.25903320312,25
194,71180.72338867188,25
195,71301.80541992188,25
196,71269.01904296875,25
197,70619.66137695312,25
198,70986.40380859375,25
199,70818.880859375,25
200,71023.15356445312,25
201,71101.93188476562,25
202,71215.08911132812,25
203,71210.24169921875,25
204,70232.36206054688,25
205,69186.22729492188,25
206,65655.9130859375,25
207,64834.576171875,25
208,64875.051513671875,25
209,64699.52685546875,25
210,64018.00537109375,25
211,63611.892333984375,25
212,63454.22900390625,25
213,63344.626220703125,25
214,63606.0537109375,25
215,63699.149169921875,25
216,63481.40576171875,25
217,63252.619384765625,25
218,63889.73974609375,25
219,64134.541748046875,25
220,64073.642822265625,25
221,64357.240966796875,25
222,64124.035888671875,25
223,64130.857421875,25
224,63407.459716796875,25
225,64315.864501953125,25
226,65756.15551757812,25
227,65141.029052734375,25
228,65374.0068359375,25
229,65757.98999023438,25
230,68721.48950195312,25
231,70838.0126953125,25
232,70370.8701171875,25
233,71032.57153320312,25
234,70811.71948242188,25
235,71565.87280273438,25
236,71539.908203125,25
237,71062.17333984375,25
238,71823.85083007812,25
239,73414.0595703125,25
240,75102.99169921875,25
241,75448.4853515625,25
242,75177.3515625,25
243,74925.44653320312,25
244,75702.08520507812,25
245,75631.66479492188,25
246,75700.83129882812,25
247,75279.48754882812,25
248,74944.75463867188,25
249,75322.09423828125,25
250,74765.01098632812,25
251,74502.66162109375,25
252,74652.68115234375,25
253,74663.40747070312,25
254,74380.70727539062,25
255,74666.263671875,25
256,74859.86279296875,25
257,74987.23022460938,25
258,75160.17358398438,25
259,75316.25073242188,25
260,75152.18481445312,25
261,74602.14575195312,25
262,75075.49755859375,25
263,74733.95849609375,25
264,74542.96704101562,25
265,74682.41284179688,25
266,74777.93286132812,25
267,74841.14038085938,25
268,74929.00219726562,25
269,74806.21044921875,25
270,74998.88110351562,25
271,75020.974609375,25
272,74965.20190429688,25
273,74588.37084960938,25
274,74748.3876953125,25
275,74565.318359375,25
276,74837.01904296875,25
277,74729.65869140625,25
278,74633.97583007812,25
279,74912.43823242188,25
280,75126.64404296875,25
281,75117.00756835938,25
282,74811.81298828125,25
283,74861.01733398438,25
284,74978.82275390625,25
285,74926.89477539062,25
286,74587.47290039062,25
287,75177.36547851562,25
288,75044.22265625,25
289,74950.61279296875,25
290,74855.07299804688,25
291,74710.45971679688,25
292,74760.9375,25
293,75125.03344726562,25
294,75029.19287109375,25
295,74782.08178710938,25
296,74693.70068359375,25
297,74998.58642578125,25
298,74672.81420898438,25
299,74147.81567382812,25
300,74125.81005859375,25
301,74401.8291015625,25
302,74687.94921875,25
303,74426.08154296875,25
304,73718.53466796875,25
305,73273.6083984375,25
306,73785.20678710938,25
307,74347.76782226562,25
308,73556.43774414062,25
309,74094.00927734375,25
310,74825.57763671875,25
311,74312.95849609375,25
312,75041.76708984375,25
313,74798.36694335938,25
314,75664.90673828125,25
315,75953.49975585938,25
316,76217.75732421875,25
317,76068.01025390625,25
318,76118.74877929688,25
319,75750.1904296875,25
320,76048.6865234375,25
321,75995.87231445312,25
322,76036.47900390625,25
323,76339.5322265625,25
324,76163.59594726562,25
325,76057.19555664062,25
326,75835.1259765625,25
327,75876.7587890625,25
328,75685.26806640625,25
329,75751.17602539062,25
330,75860.58569335938,25
331,75946.15454101562,25
332,75709.94580078125,25
333,75971.21923828125,25
334,76025.18896484375,25
335,75918.67700195312,25
336,75678.0791015625,25
337,76110.87768554688,25
338,75596.60815429688,25
339,75263.23852539062,25
340,76138.5537109375,25
341,75746.25146484375,25
342,76323.99340820312,25
343,75683.65307617188,25
344,76310.74194335938,25
345,75791.21752929688,25
346,76111.517578125,25
347,76159.087890625,25
348,75496.39379882812,25
349,76031.57666015625,25
350,75957.29907226562,25
351,75696.58837890625,25
352,76076.29516601562,25
353,75804.67626953125,25
354,75494.34423828125,25
355,76015.85571289062,25
356,76043.32250976562,25
357,75625.08544921875,25
358,76164.14599609375,25
359,75766.955078125,25
360,76510.41015625,25
361,76044.53955078125,25
362,75896.8193359375,25
363,76215.26586914062,25
364,75928.7705078125,25
365,75747.30615234375,25
366,76274.76513671875,25
367,75915.09545898438,25
368,76307.32666015625,25
369,76073.8681640625,25
370,76094.76831054688,25
371,75636.265625,25
372,75543.869140625,25
373,75768.53100585938,25
374,75862.98291015625,25
375,75881.24487304688,25
376,75805.6025390625,25
377,75955.25048828125,25
378,76238.51635742188,25
379,75766.58935546875,25
380,75882.24145507812,25
381,75878.48950195312,25
382,76261.89599609375,25
383,76146.27514648438,25
384,76059.50854492188,25
385,75818.0302734375,25
386,75800.98559570312,25
387,75569.64086914062,25
388,76189.552734375,25
389,75978.06201171875,25
390,75986.59643554688,25
391,75943.24731445312,25
392,76009.50659179688,25
393,75999.03173828125,25
394,76232.85083007812,25
395,75928.26049804688,25
396,75958.09790039062,25
397,76020.36010742188,25
398,75810.7294921875,25
399,76108.00317382812,25
400,75841.86962890625,25
401,76308.15771484375,25
402,75726.51342773438,25
403,75829.47192382812,25
404,76586.927734375,25
405,75527.65087890625,25
406,75964.51440429688,25
407,75824.20385742188,25
408,76151.06079101562,25
409,76340.12109375,25
410,76311.93603515625,25
411,76285.736328125,25
412,76251.56958007812,25
413,75938.55908203125,25
414,75901.681640625,25
415,75972.369140625,25
416,76074.60668945312,25
417,76617.6259765625,25
418,76349.55297851562,25
419,76227.083984375,25
420,75816.8203125,25
421,76344.76245117188,25
422,76111.17065429688,25
423,76139.63818359375,25
424,76208.35473632812,25
425,76408.45361328125,25
426,76237.18188476562,25
427,76312.822265625,25
428,76260.115234375,25
429,76318.12182617188,25
430,76062.2734375,25
431,76038.439453125,25
432,76970.8916015625,25
433,75963.06958007812,25
434,76099.27954101562,25
435,76088.81640625,25
436,76251.16845703125,25
437,76137.21875,25
438,75602.95434570312,25
439,76270.56201171875,25
440,76907.94091796875,25
441,76211.15942382812,25
442,76221.51123046875,25
443,76364.87963867188,25
444,75944.76416015625,25
445,76330.14184570312,25
446,76244.97021484375,25
447,76247.09228515625,25
448,76403.85546875,25
449,76371.77783203125,25
450,76032.31884765625,25
451,76398.11450195312,25
452,76182.95532226562,25
453,76123.79956054688,25
454,76194.23217773438,25
455,76309.16088867188,25
456,76149.27465820312,25
457,76207.49487304688,25
458,76271.38671875,25
459,76225.96826171875,25
460,76234.62060546875,25
461,76322.87109375,25
462,75981.21411132812,25
463,76482.591796875,25
464,76103.20776367188,25
465,76348.1787109375,25
466,76239.17260742188,25
467,76463.93627929688,25
468,73311.53662109375,25
469,70605.31762695312,25
470,70889.326171875,25
471,70847.3310546875,25
472,70586.6259765625,25
473,71059.98291015625,25
474,70778.443359375,25
475,70551.46728515625,25
476,70693.02465820312,25
477,70940.59985351562,25
478,71002.79809570312,25
