episode,step,reward
11,22,3308.873291015625
11,23,2980.314697265625
11,24,2552.823974609375
11,25,2826.38427734375
12,1,3718.11328125
12,2,2577.689697265625
12,3,2914.436767578125
12,4,3402.643798828125
12,5,3039.2314453125
12,6,2965.697021484375
12,7,3298.3857421875
12,8,2915.822509765625
12,9,2882.4091796875
12,10,2487.820068359375
12,11,3056.8564453125
12,12,2611.532470703125
12,13,3054.98046875
12,14,2286.472412109375
12,15,2435.0146484375
12,16,3007.19140625
12,17,2754.720703125
12,18,2212.85107421875
12,19,3184.705322265625
12,20,2937.33984375
12,21,2806.58154296875
12,22,3487.639404296875
12,23,2599.01611328125
12,24,3236.4736328125
12,25,2716.56982421875
13,1,2494.76513671875
13,2,2728.1904296875
13,3,2870.2119140625
13,4,3145.20849609375
13,5,3079.374267578125
13,6,2892.2890625
13,7,3003.572998046875
13,8,2691.4560546875
13,9,3009.097900390625
13,10,2805.705810546875
13,11,3452.984375
13,12,3072.96484375
13,13,2990.76123046875
13,14,2466.977783203125
13,15,2897.62060546875
13,16,2919.600830078125
13,17,2679.988525390625
13,18,3228.82470703125
13,19,2731.516357421875
13,20,3363.94140625
13,21,2357.287841796875
13,22,3211.81103515625
13,23,2465.13134765625
13,24,3176.39453125
13,25,2702.98486328125
14,1,2423.5478515625
14,2,3277.4482421875
14,3,2435.008056640625
14,4,3337.18701171875
14,5,2799.359375
14,6,3195.563232421875
14,7,2760.63232421875
14,8,3358.618408203125
14,9,2569.984375
14,10,2577.457763671875
14,11,3304.12548828125
14,12,2955.08642578125
14,13,2256.29296875
14,14,2756.978759765625
14,15,2068.895751953125
14,16,2627.29150390625
14,17,2751.450927734375
14,18,2853.44482421875
14,19,3055.897216796875
14,20,2799.10595703125
14,21,2666.953857421875
14,22,3018.90478515625
14,23,3349.94287109375
14,24,3228.81396484375
14,25,2451.2939453125
15,1,2840.825439453125
15,2,2815.53564453125
15,3,3151.0810546875
15,4,3283.171142578125
15,5,2599.875732421875
15,6,3053.111572265625
15,7,3177.55126953125
15,8,2747.5166015625
15,9,2793.07470703125
15,10,2962.115966796875
15,11,2397.531494140625
15,12,2903.431640625
15,13,2883.260009765625
15,14,2764.57763671875
15,15,2648.411376953125
15,16,2386.406005859375
15,17,2702.607421875
15,18,2989.021728515625
15,19,3436.89453125
15,20,2757.851806640625
15,21,3346.461669921875
15,22,2582.127685546875
15,23,3161.22705078125
15,24,3046.082275390625
15,25,3356.7939453125
16,1,3233.150634765625
16,2,3457.28515625
16,3,2550.11279296875
16,4,2930.7685546875
16,5,3480.103515625
16,6,3345.70751953125
16,7,2739.285888671875
16,8,2806.393798828125
16,9,3290.24755859375
16,10,3364.206787109375
16,11,2668.54345703125
16,12,3121.299560546875
16,13,2435.337158203125
16,14,2058.65234375
16,15,2454.888427734375
16,16,2706.869140625
16,17,3113.75390625
16,18,2543.702880859375
16,19,2368.17822265625
16,20,3268.32763671875
16,21,3333.644775390625
16,22,3068.18994140625
16,23,3161.183349609375
16,24,2952.577392578125
16,25,3079.998291015625
17,1,2897.172119140625
17,2,2972.76123046875
17,3,3379.72998046875
17,4,3422.543701171875
