episode,total_reward,steps
1,75975.28173828125,25
2,74227.93798828125,25
3,75767.80346679688,25
4,74945.84350585938,25
5,73879.05883789062,25
6,74481.66552734375,25
7,73855.09521484375,25
8,75970.16796875,25
9,76621.68359375,25
10,76992.24877929688,25
11,75761.2783203125,25
12,74505.47021484375,25
13,74353.89916992188,25
14,72794.5634765625,25
15,74701.80859375,25
16,75447.66723632812,25
17,77174.43310546875,25
18,75836.77099609375,25
19,76372.12426757812,25
20,75022.21704101562,25
21,73167.95361328125,25
22,71447.42944335938,25
23,77394.5244140625,25
24,71632.84887695312,25
25,74439.31372070312,25
26,77902.5615234375,25
27,74157.62158203125,25
28,76045.69848632812,25
29,76165.31982421875,25
30,74374.9521484375,25
31,74211.9658203125,25
32,76209.61889648438,25
33,75789.70947265625,25
34,77055.8837890625,25
35,73620.3388671875,25
36,75678.77587890625,25
37,76689.42724609375,25
38,75124.87133789062,25
39,74128.39990234375,25
40,77086.38012695312,25
41,70741.89111328125,25
42,71025.11401367188,25
43,71706.45141601562,25
44,73165.412109375,25
45,76196.64599609375,25
46,79405.59716796875,25
47,84044.93920898438,25
48,89767.48217773438,25
49,95346.02197265625,25
50,101306.62841796875,25
51,106044.43359375,25
52,110061.06201171875,25
53,112883.08935546875,25
54,114693.3525390625,25
55,115713.572265625,25
56,116318.90185546875,25
57,116666.861328125,25
58,117072.5751953125,25
59,117160.06640625,25
60,116911.96142578125,25
61,116895.25830078125,25
62,116959.36767578125,25
63,116967.0009765625,25
64,117011.42041015625,25
65,117251.58447265625,25
66,117178.7236328125,25
67,117106.66357421875,25
68,116963.09228515625,25
69,116990.03955078125,25
70,117254.22265625,25
71,117487.95751953125,25
72,117366.75244140625,25
73,117346.77197265625,25
74,117396.2177734375,25
75,117441.79052734375,25
76,117318.10546875,25
77,117206.20947265625,25
78,117205.6328125,25
79,117133.6005859375,25
80,117116.1494140625,25
81,116966.54052734375,25
82,117226.08203125,25
83,117100.076171875,25
84,117115.0341796875,25
85,116996.84814453125,25
86,116831.71630859375,25
87,117004.7724609375,25
88,116888.2431640625,25
89,116989.486328125,25
90,116977.228515625,25
91,116966.70458984375,25
92,116853.435546875,25
93,116912.46923828125,25
94,116984.0732421875,25
95,116979.9375,25
96,117146.16015625,25
97,116991.03076171875,25
98,116854.5693359375,25
99,116817.994140625,25
100,116726.8203125,25
101,116844.17626953125,25
102,116638.8408203125,25
103,116595.64306640625,25
104,116785.61669921875,25
105,116508.9951171875,25
106,116640.7041015625,25
107,116493.02294921875,25
108,116400.04248046875,25
109,116286.7197265625,25
110,116291.20166015625,25
111,116247.74072265625,25
112,116144.52294921875,25
113,116293.9970703125,25
114,116202.04150390625,25
115,116414.78271484375,25
116,116376.8017578125,25
117,116442.205078125,25
118,116474.259765625,25
119,116491.40478515625,25
120,116583.98486328125,25
121,116692.36962890625,25
122,116959.810546875,25
123,117020.04638671875,25
124,117090.38818359375,25
125,117098.42919921875,25
126,117036.16943359375,25
127,117229.2802734375,25
128,117344.66357421875,25
129,117174.470703125,25
130,117239.64306640625,25
131,117261.1806640625,25
132,117075.86669921875,25
133,117173.03369140625,25
134,117098.57470703125,25
135,117203.86572265625,25
136,117193.77734375,25
137,117234.8544921875,25
138,116923.33251953125,25
139,116931.138671875,25
140,117133.2734375,25
141,117032.673828125,25
142,117204.21826171875,25
143,117066.9130859375,25
144,117246.46826171875,25
145,117164.43408203125,25
146,117316.634765625,25
147,117337.96630859375,25
148,117309.3330078125,25
149,117400.44775390625,25
150,117259.25341796875,25
151,117400.43994140625,25
152,117286.9111328125,25
153,117392.77490234375,25
154,117425.42333984375,25
155,117304.28076171875,25
156,117334.5,25
157,117336.23974609375,25
158,117403.01123046875,25
159,117483.22119140625,25
160,117468.15087890625,25
161,117475.33740234375,25
162,117329.70556640625,25
163,117345.38720703125,25
164,117252.9453125,25
165,117273.91748046875,25
166,117211.1396484375,25
167,117266.31982421875,25
168,117353.60498046875,25
169,117216.2900390625,25
170,117236.0927734375,25
171,117149.37353515625,25
172,117126.63134765625,25
173,117004.158203125,25
174,117209.54541015625,25
175,116992.64404296875,25
176,116973.36279296875,25
177,117048.89453125,25
178,117010.93505859375,25
179,117049.87646484375,25
180,117094.3154296875,25
181,117157.45556640625,25
182,117076.54541015625,25
183,117086.08544921875,25
184,117187.6591796875,25
185,117228.59765625,25
186,117055.92724609375,25
187,116885.72607421875,25
188,117055.63671875,25
189,117184.4541015625,25
190,117098.37890625,25
191,117200.32421875,25
192,117359.7958984375,25
193,117098.75439453125,25
194,116529.0390625,25
195,113675.248046875,25
196,111741.91796875,25
197,111385.4609375,25
198,111438.19775390625,25
