episode,step,reward
12,14,2786.566650390625
12,15,2777.740966796875
12,16,3121.9921875
12,17,2754.72216796875
12,18,2212.854248046875
12,19,3184.70947265625
12,20,2937.338134765625
12,21,2806.581787109375
12,22,3487.640380859375
12,23,2599.0166015625
12,24,3236.47314453125
12,25,2716.572509765625
13,1,2494.75634765625
13,2,2728.1962890625
13,3,2870.2138671875
13,4,3145.211669921875
13,5,3079.373779296875
13,6,2892.2900390625
13,7,3003.569580078125
13,8,2691.458984375
13,9,3009.0986328125
13,10,2805.70166015625
13,11,3567.7900390625
13,12,3415.687744140625
13,13,3490.85107421875
13,14,2967.0654296875
13,15,3240.34912109375
13,16,3034.4052734375
13,17,2679.97900390625
13,18,3228.82861328125
13,19,2731.51806640625
13,20,3363.941650390625
13,21,2357.283447265625
13,22,3211.814453125
13,23,2465.1318359375
13,24,3176.396240234375
13,25,2702.986328125
14,1,2423.5478515625
14,2,3277.44921875
14,3,2435.010498046875
14,4,3337.193115234375
14,5,2799.3583984375
14,6,3195.559326171875
14,7,2760.6298828125
14,8,3358.61962890625
14,9,2569.99169921875
14,10,2577.4560546875
14,11,3418.925537109375
14,12,3297.826171875
14,13,2756.38427734375
14,14,3257.075927734375
14,15,2411.623046875
14,16,2742.096923828125
14,17,2751.446533203125
14,18,2853.451171875
14,19,3055.898193359375
14,20,2799.10791015625
14,21,2666.954833984375
14,22,3018.9052734375
14,23,3349.9423828125
14,24,3228.814208984375
14,25,2451.29541015625
15,1,2840.82275390625
15,2,2815.540283203125
15,3,3151.08056640625
15,4,3283.171142578125
15,5,2599.8779296875
15,6,3053.110107421875
15,7,3177.548095703125
15,8,2747.51806640625
15,9,2793.093505859375
15,10,2962.11376953125
15,11,2512.34765625
15,12,3246.15771484375
15,13,3383.349365234375
15,14,3264.668701171875
15,15,2991.13720703125
15,16,2501.20361328125
15,17,2702.602783203125
15,18,2989.02490234375
15,19,3436.895263671875
15,20,2757.8515625
15,21,3346.460205078125
15,22,2582.12939453125
15,23,3161.22607421875
15,24,3046.083251953125
15,25,3356.794677734375
16,1,3233.14453125
16,2,3457.287109375
16,3,2550.113525390625
16,4,2930.771484375
16,5,3480.10546875
16,6,3345.709228515625
16,7,2739.283935546875
16,8,2806.3955078125
16,9,3290.24853515625
16,10,3364.2001953125
16,11,2783.3427734375
16,12,3464.026123046875
16,13,2935.4326171875
16,14,2558.744140625
16,15,2797.614501953125
16,16,2821.685302734375
16,17,3113.751220703125
16,18,2543.70703125
16,19,2368.18017578125
16,20,3268.32373046875
16,21,3333.65087890625
16,22,3068.188720703125
16,23,3161.183837890625
16,24,2952.5771484375
16,25,3079.99951171875
17,1,2897.167236328125
17,2,2972.76220703125
17,3,3379.72998046875
17,4,3422.546875
17,5,3295.03076171875
17,6,3045.9794921875
17,7,2934.776611328125
17,8,3003.4833984375
17,9,2258.569091796875
17,10,3256.005126953125
17,11,3388.035888671875
17,12,2925.439453125
17,13,3031.0283203125
17,14,3203.812744140625
17,15,3577.168212890625
17,16,3566.301513671875
17,17,3268.380615234375
17,18,2325.010986328125
17,19,2282.6865234375
17,20,3170.1162109375
17,21,3425.41845703125
17,22,3230.265625
17,23,3439.496826171875
17,24,3205.100341796875
17,25,2670.12060546875
18,1,3262.760986328125
18,2,2910.824951171875
18,3,2912.261962890625
18,4,2669.6904296875
18,5,2560.336669921875
18,6,2856.62353515625
18,7,3244.423095703125
18,8,3229.87939453125
18,9,2466.33154296875
18,10,2909.515380859375
18,11,2990.7265625
18,12,3400.6533203125
18,13,2912.00244140625
18,14,3222.20361328125
18,15,3155.622314453125
18,16,3167.41748046875
18,17,2963.34619140625
18,18,2836.7119140625
18,19,3575.78955078125
18,20,3161.58642578125
18,21,2856.88037109375
18,22,2905.252685546875
18,23,2734.70361328125
18,24,3437.765625
18,25,3493.4609375
19,1,2915.313720703125
19,2,3092.504638671875
19,3,2926.53662109375
19,4,3232.435546875
19,5,3125.331298828125
19,6,3152.680908203125
19,7,3117.58447265625
19,8,2868.776123046875
19,9,2730.9140625
19,10,3141.3427734375
19,11,3557.43115234375
19,12,3477.130615234375
19,13,3146.184326171875
19,14,3292.846923828125
19,15,2727.717529296875
19,16,2799.01416015625
19,17,3196.896240234375
19,18,2438.31640625
19,19,3195.509765625
19,20,2938.2548828125
19,21,3318.9755859375
19,22,3381.103515625
19,23,2390.40185546875
19,24,3206.6357421875
19,25,3002.285400390625
20,1,2925.01953125
20,2,3991.238525390625
20,3,3025.3232421875
20,4,3225.2265625
20,5,2773.901123046875
20,6,3330.116455078125
20,7,2664.567138671875
20,8,3201.955078125
20,9,2429.392333984375
20,10,3041.7744140625
20,11,3451.59619140625
20,12,3616.684326171875
20,13,3188.12548828125
20,14,2769.947021484375
20,15,3438.860107421875
20,16,2607.685302734375
20,17,2970.8876953125
20,18,2378.88525390625
20,19,2614.205810546875
20,20,2720.5146484375
20,21,3285.620361328125
20,22,2443.986328125
20,23,2797.922607421875
20,24,3013.09716796875
20,25,3115.684326171875
21,1,3217.80126953125
21,2,3001.200439453125
21,3,2492.4072265625
21,4,3356.115966796875
21,5,2784.162841796875
21,6,3186.306640625
21,7,2943.731689453125
21,8,2637.22216796875
21,9,2514.092041015625
21,10,2497.0859375
21,11,3136.14697265625
21,12,3296.837158203125
21,13,3513.50830078125
21,14,2836.322509765625
21,15,2757.34765625
21,16,3139.10546875
21,17,2673.571044921875
