Evaluation_Reward
4.439761190795898438e+04
4.450097604370117188e+04
4.450097393798828125e+04
4.647672290039062500e+04
5.123283087158203125e+04
5.123282455444335938e+04
5.666319580078125000e+04
6.166838031005859375e+04
6.166837420654296875e+04
6.558649719238281250e+04
6.558646313476562500e+04
6.841020959472656250e+04
7.175299426269531250e+04
7.175296020507812500e+04
7.489966418457031250e+04
7.673087268066406250e+04
7.673083215332031250e+04
7.902579199218750000e+04
7.902577050781250000e+04
8.093914538574218750e+04
8.191710827636718750e+04
8.191714208984375000e+04
8.379728100585937500e+04
8.487489147949218750e+04
8.487492089843750000e+04
8.569046630859375000e+04
8.569046557617187500e+04
8.663415551757812500e+04
8.723104833984375000e+04
8.723104858398437500e+04
8.787870263671875000e+04
8.807270727539062500e+04
8.807270654296875000e+04
8.824190283203125000e+04
8.824190429687500000e+04
8.821707666015625000e+04
8.840429931640625000e+04
8.840430004882812500e+04
8.850896801757812500e+04
8.852330273437500000e+04
8.852330493164062500e+04
8.858712011718750000e+04
8.858711938476562500e+04
8.867869287109375000e+04
8.885973266601562500e+04
8.885972827148437500e+04
8.907824731445312500e+04
8.908452856445312500e+04
8.908452880859375000e+04
8.895962548828125000e+04
