episode,total_reward,steps
1,75975.28173828125,25
2,74227.93798828125,25
3,75767.80346679688,25
4,74945.84350585938,25
5,73879.05883789062,25
6,74481.66552734375,25
7,73855.09521484375,25
8,75970.16796875,25
9,76621.68359375,25
10,76992.24877929688,25
11,75761.2783203125,25
12,74505.47021484375,25
13,74353.89916992188,25
14,72794.5634765625,25
15,74701.80859375,25
16,75447.66723632812,25
17,77174.43310546875,25
18,75836.77099609375,25
19,76372.12426757812,25
20,75022.21704101562,25
21,73167.95361328125,25
22,71447.42944335938,25
23,77394.5244140625,25
24,71632.84887695312,25
25,74439.31372070312,25
26,77902.5615234375,25
27,74157.62158203125,25
28,76045.69848632812,25
29,76165.31982421875,25
30,74374.9521484375,25
31,74211.9658203125,25
32,76209.61889648438,25
33,75789.70947265625,25
34,77055.8837890625,25
35,73620.3388671875,25
36,75678.77587890625,25
37,76689.42724609375,25
38,75124.87133789062,25
39,74128.39990234375,25
40,77086.38012695312,25
41,71517.46899414062,25
42,74584.69995117188,25
43,83527.48364257812,25
44,98286.33569335938,25
45,110570.3701171875,25
46,114794.18310546875,25
47,116222.54150390625,25
48,116394.7685546875,25
49,115978.13623046875,25
50,116181.431640625,25
51,116323.427734375,25
52,116107.6259765625,25
53,116264.41455078125,25
54,116229.345703125,25
55,116346.9404296875,25
56,116297.48095703125,25
57,116530.271484375,25
58,117029.6845703125,25
59,117028.59130859375,25
60,116707.8671875,25
61,116568.66650390625,25
62,116658.3388671875,25
63,116456.3642578125,25
64,116125.1689453125,25
65,116530.259765625,25
66,116505.3291015625,25
67,116655.6708984375,25
68,116729.44384765625,25
69,116759.52685546875,25
70,117129.306640625,25
71,117171.2177734375,25
72,116921.216796875,25
73,117002.6826171875,25
74,117453.0263671875,25
75,117326.88232421875,25
76,116866.2744140625,25
77,116626.5400390625,25
78,116604.3671875,25
79,116358.53662109375,25
80,116320.4384765625,25
81,116010.712890625,25
82,116331.86279296875,25
83,115953.30322265625,25
84,116166.32763671875,25
85,115949.75390625,25
86,115855.13720703125,25
87,115963.86669921875,25
88,115613.73974609375,25
89,115740.9833984375,25
90,115802.89453125,25
91,115811.21923828125,25
92,115693.1669921875,25
93,115764.02685546875,25
94,115857.92236328125,25
95,115800.29833984375,25
96,116282.76904296875,25
97,116077.49853515625,25
98,116006.12548828125,25
99,115958.1826171875,25
100,115926.26025390625,25
101,116168.2314453125,25
102,115806.1494140625,25
103,115767.1435546875,25
104,116204.0927734375,25
105,115951.76123046875,25
106,116208.3203125,25
107,116117.4853515625,25
108,114472.27783203125,25
109,106803.90942382812,25
110,106178.01977539062,25
111,102598.80029296875,25
112,99864.837890625,25
113,95967.45434570312,25
114,93876.44018554688,25
115,89991.9140625,25
116,88867.794921875,25
117,86092.30249023438,25
118,85225.83056640625,25
119,82988.48046875,25
120,75409.46240234375,25
121,71147.28100585938,25
122,71388.2431640625,25
123,71659.05151367188,25
124,71576.283203125,25
125,71264.841796875,25
126,71086.28833007812,25
127,71214.67041015625,25
128,72000.654296875,25
129,72731.46557617188,25
130,73074.96801757812,25
131,72915.57641601562,25
132,72571.90600585938,25
133,72793.10864257812,25
134,73128.11401367188,25
135,73091.623046875,25
136,73043.29467773438,25
137,72910.20043945312,25
138,72410.9150390625,25
139,72867.87158203125,25
140,73245.2802734375,25
141,72649.39379882812,25
142,73085.572265625,25
143,73032.99487304688,25
144,73241.54711914062,25
145,72910.49755859375,25
146,72875.29516601562,25
147,72726.78173828125,25
148,72728.61083984375,25
149,73069.97045898438,25
150,72888.50830078125,25
151,73123.26782226562,25
152,72725.38549804688,25
153,73341.66723632812,25
154,73793.71899414062,25
155,73483.84887695312,25
156,73946.07373046875,25
157,73896.98608398438,25
158,73888.70043945312,25
159,74202.1806640625,25
160,74009.88208007812,25
161,73839.28125,25
162,73561.53442382812,25
163,73770.23266601562,25
164,73338.6923828125,25
165,73444.61962890625,25
166,73876.35791015625,25
167,73506.74267578125,25
168,74145.71142578125,25
169,74575.46264648438,25
170,73873.962890625,25
171,73496.6328125,25
172,73129.37158203125,25
173,73691.56225585938,25
174,72531.4384765625,25
175,71215.01416015625,25
176,71822.26635742188,25
177,71924.3955078125,25
178,71633.142578125,25
179,71673.65063476562,25
180,71918.5791015625,25
181,71898.66967773438,25
182,71703.49169921875,25
183,72040.89306640625,25
184,71937.23974609375,25
185,71846.32470703125,25
186,71486.30932617188,25
187,71221.50512695312,25
188,71398.30346679688,25
189,71269.86352539062,25
190,70918.37231445312,25
191,71119.64624023438,25
192,71340.72802734375,25
193,70704.69604492188,25
194,71044.1767578125,25
195,71021.49194335938,25
196,71016.55859375,25
197,70633.8330078125,25
